index,column_name,feature_type
0,p1_is_righthanded,player1
1,p1_age,player1
2,p1_height,player1
3,p1_stats_52w_win_pct,player1
4,p1_stats_52w_serve_points_won_pct,player1
5,p1_stats_52w_return_points_won_pct,player1
6,p1_stats_52w_ace_pct,player1
7,p1_stats_52w_df_pct,player1
8,p1_stats_52w_first_serve_pct,player1
9,p1_stats_52w_first_serve_won_pct,player1
10,p1_stats_52w_second_serve_won_pct,player1
11,p1_stats_52w_bp_converted_pct,player1
12,p1_stats_52w_bp_saved_pct,player1
13,p1_stats_52w_bp_created_per_return_game,player1
14,p1_stats_52w_bp_faced_per_game,player1
15,p1_stats_52w_games_ratio,player1
16,p1_stats_52w_total_points_won_pct,player1
17,p1_stats_52w_close_match_pct,player1
18,p1_stats_52w_deciding_set_pct,player1
19,p1_stats_52w_tiebreak_pct,player1
20,p1_stats_52w_upset_rate,player1
21,p1_stats_52w_upset_avg_magnitude,player1
22,p1_stats_52w_efficiency_ratio,player1
23,p1_stats_52w_defend_rate,player1
24,p1_stats_52w_return_game_impact,player1
25,p1_stats_52w_return_games_broken_pct,player1
26,p1_stats_52w_service_games_held_pct,player1
27,p1_stats_52w_first_return_won_pct,player1
28,p1_stats_52w_second_return_won_pct,player1
29,p1_stats_52w_losses,player1
30,p1_stats_52w_matches_played,player1
31,p1_stats_52w_wins,player1
32,p1_stats_52w_service_game_efficiency,player1
33,p1_stats_52w_straight_sets_pct,player1
34,p1_surface_win_pct,player1
35,p1_surface_serve_pct,player1
36,p1_surface_return_pct,player1
37,p1_stats_4w_ace_pct,player1
38,p1_stats_4w_bp_converted_pct,player1
39,p1_stats_4w_bp_created_per_return_game,player1
40,p1_stats_4w_bp_faced_per_game,player1
41,p1_stats_4w_bp_saved_pct,player1
42,p1_stats_4w_df_pct,player1
43,p1_stats_4w_efficiency_ratio,player1
44,p1_stats_4w_first_return_won_pct,player1
45,p1_stats_4w_first_serve_pct,player1
46,p1_stats_4w_first_serve_won_pct,player1
47,p1_stats_4w_games_ratio,player1
48,p1_stats_4w_losses,player1
49,p1_stats_4w_matches_per_week,player1
50,p1_stats_4w_matches_played,player1
51,p1_stats_4w_return_game_impact,player1
52,p1_stats_4w_return_games_broken_pct,player1
53,p1_stats_4w_return_points_won_pct,player1
54,p1_stats_4w_second_return_won_pct,player1
55,p1_stats_4w_second_serve_won_pct,player1
