tournament_name,tournament_id,year,tournament_date,surface,level,best_of,draw_size,total_matches,rating_cutoff_date,h2h_start_date,h2h_end_date
Australian Open,2008-580,2008,20080114,Hard,G,5,128,239,20080107,20070108,20080107
Indian Wells Masters,2008-404,2008,20080313,Hard,M,3,96,131,20080310,20070312,20080310
Miami Masters,2008-403,2008,20080327,Hard,M,3,96,131,20080324,20070326,20080324
Rome Masters,2008-416,2008,20080505,Clay,M,3,56,76,20080428,20070430,20080428
Roland Garros,2008-520,2008,20080525,Clay,G,5,128,239,20080519,20070521,20080519
Wimbledon,2008-540,2008,20080623,Grass,G,5,128,239,20080616,20070618,20080616
Cincinnati Masters,2008-422,2008,20080728,Hard,M,3,56,76,20080721,20070723,20080721
US Open,2008-560,2008,20080825,Hard,G,5,128,239,20080818,20070820,20080818
Australian Open,2012-580,2012,20120116,Hard,G,3,128,239,20120109,20110110,20120109
Indian Wells Masters,2012-404,2012,20120308,Hard,M,3,96,131,20120305,20110307,20120305
Miami Masters,2012-403,2012,20120321,Hard,M,3,96,131,20120319,20110321,20120319
Rome Masters,2012-416,2012,20120513,Clay,M,3,56,76,20120507,20110509,20120507
Roland Garros,2012-520,2012,20120527,Clay,G,3,128,239,20120521,20110523,20120521
Wimbledon,2012-540,2012,20120625,Grass,G,3,128,239,20120618,20110620,20120618
Cincinnati Masters,2012-422,2012,20120812,Hard,M,3,56,76,20120806,20110808,20120806
US Open,2012-560,2012,20120827,Hard,G,3,128,239,20120820,20110822,20120820
Australian Open,2016-580,2016,20160118,Hard,G,3,128,239,20160111,20150112,20160111
Indian Wells Masters,2016-M006,2016,20160307,Hard,M,3,96,95,20160229,20150302,20160229
Miami Masters,2016-M007,2016,20160321,Hard,M,3,96,131,20160314,20150316,20160314
Rome Masters,2016-M009,2016,20160509,Clay,M,3,56,76,20160502,20150504,20160502
Roland Garros,2016-520,2016,20160523,Clay,G,3,128,239,20160516,20150518,20160516
Wimbledon,2016-540,2016,20160627,Grass,G,3,128,239,20160620,20150622,20160620
Cincinnati Masters,2016-M024,2016,20160815,Hard,M,3,56,76,20160808,20150810,20160808
US Open,2016-560,2016,20160829,Hard,G,3,128,239,20160822,20150824,20160822
Australian Open,2019-580,2019,20190114,Hard,G,5,128,239,20190107,20180108,20190107
Indian Wells Masters,2019-M006,2019,20190304,Hard,M,3,96,131,20190225,20180226,20190225
Miami Masters,2019-M007,2019,20190318,Hard,M,3,96,131,20190311,20180312,20190311
Rome Masters,2019-M009,2019,20190513,Clay,M,3,56,76,20190506,20180507,20190506
Roland Garros,2019-520,2019,20190527,Clay,G,5,128,239,20190520,20180521,20190520
Wimbledon,2019-540,2019,20190701,Grass,G,5,128,239,20190624,20180625,20190624
Cincinnati Masters,2019-M024,2019,20190812,Hard,M,3,56,74,20190805,20180806,20190805
US Open,2019-560,2019,20190826,Hard,G,5,128,239,20190819,20180820,20190819
Australian Open,2024-580,2024,20240115,Hard,G,5,128,239,20240108,20230109,20240108
Indian Wells Masters,2024-0404,2024,20240304,Hard,M,3,96,130,20240226,20230227,20240226
Miami Masters,2024-0403,2024,20240318,Hard,M,3,96,131,20240311,20230313,20240311
Rome Masters,2024-0416,2024,20240506,Clay,M,3,96,131,20240429,20230501,20240429
Roland Garros,2024-520,2024,20240527,Clay,G,5,128,239,20240520,20230522,20240520
Wimbledon,2024-540,2024,20240701,Grass,G,5,128,239,20240624,20230626,20240624
Cincinnati Masters,2024-0422,2024,20240812,Hard,M,3,56,76,20240805,20230807,20240805
US Open,2024-560,2024,20240826,Hard,G,5,128,239,20240819,20230821,20240819
